Winner,White_Weighted_Value,Black_Weighted_Value,White_Centre_Weighted_Value,Black_Centre_Weighted_Value,White_King_Safety,Black_King_Safety,White_Piece_Count,Black_Piece_Count,White_Center_Piece_Count,Black_Center_Piece_Count,White_Opponent_Moves,Black_Opponent_Moves,White_Rook_Positions,White_Queen_Positions,White_Knight_Positions,White_King_Positions,White_Bishop_Positions,Black_Rook_Positions,Black_Queen_Positions,Black_Knight_Positions,Black_King_Positions,Black_Bishop_Positions
White,19,18,3,8,N,N,11,11,3,4,0,0,0,0,3,0,0,3,0,6,0,0
Black,6,6,2,2,N,Y,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,20,1,4,N,Y,10,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,17,0,7,N,Y,8,11,0,3,0,0,0,6,0,0,0,0,0,0,6,0
White,21,21,5,3,Y,N,12,12,2,2,0,0,0,3,0,0,8,16,8,0,8,3
Black,18,18,8,3,N,Y,11,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,15,14,4,6,Y,N,10,9,3,3,0,0,0,0,5,0,0,5,0,0,5,0
White,13,15,6,1,Y,N,8,9,3,1,0,0,2,2,0,0,0,2,0,0,2,0
White,16,14,8,2,N,N,10,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,23,22,7,7,Y,N,13,13,5,5,0,0,6,6,12,0,0,6,3,9,0,12
Black,17,16,3,2,N,Y,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,21,5,4,N,Y,12,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,4,5,3,4,N,Y,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,23,0,6,N,Y,12,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0
White,20,20,5,4,Y,N,11,11,3,3,0,0,4,4,4,4,8,4,0,4,8,8
White,23,23,5,2,Y,N,13,13,3,1,4,0,0,11,18,0,7,14,11,11,11,4
Black,14,14,3,8,N,Y,9,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,14,2,2,N,Y,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,14,12,4,4,Y,N,8,6,3,3,0,0,0,10,0,0,10,10,0,0,10,0
Black,9,8,2,6,N,Y,7,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,26,26,6,8,N,Y,15,15,4,5,0,0,0,0,0,0,0,0,0,0,0,0
White,24,20,1,2,Y,N,14,11,1,1,1,0,6,1,3,5,0,7,11,30,15,17
Black,13,12,4,2,N,Y,9,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,18,4,2,N,Y,11,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,21,2,3,N,Y,13,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,11,14,5,0,Y,N,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
White,17,17,0,3,Y,N,11,11,0,2,0,0,7,0,0,10,3,13,0,7,3,7
White,9,8,3,3,Y,N,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,15,14,0,5,Y,N,8,7,0,2,11,0,11,11,0,0,0,8,4,0,15,0
Black,19,21,4,5,N,Y,11,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,23,8,4,N,Y,14,14,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,10,15,0,6,N,Y,5,10,0,4,0,0,20,20,0,20,0,20,0,0,0,0
Black,24,24,5,2,N,Y,14,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,14,0,2,N,Y,9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,21,6,3,N,Y,12,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,17,3,3,N,Y,10,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,10,10,4,4,Y,N,7,7,3,3,9,0,0,0,0,0,9,0,0,9,0,0
Black,10,12,3,5,N,N,7,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,19,6,3,N,Y,10,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,21,20,4,2,Y,N,12,11,3,2,0,0,0,6,0,6,0,6,0,0,6,6
Black,13,14,1,3,N,N,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,13,1,2,N,Y,8,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
